Name,Filename,Request,Thought bubble,Song,Furniture List,Furniture Name List,Unique Entry ID
Quillson,duk17,My Own Recording Studio,"I want to drop an album, so I need somewhere to record it.",K.K. D&B,9503;849;1645,mic stand;amp;electric guitar,XRBcdTnzAMwd8AAmd
Quinn,pbr10,A Place to Express Myself,I want a place to express beauty in all its forms.,K.K. Groove,13575;7189;9538,SLR camera;studio spotlight;acid-washed jacket,wfcbFECH6PyLKwJGX
Raddle,flg15,Mad Scientist's Lair,I could pretend to be a wacky scientist doing experiments.,K.K. Milonga,13518;4016;13516,lab chair;lab-experiments set;amazing machine,rNr49WXY4taGtk76N
Rasher,pig02,Not-Too-Serious Secret Base,I want a secret base for me and my pals to horse around.,K.K. Ska,833;13666;7453,upright locker;pile of cash;aluminum briefcase,4redECYwZCT5Pd4Kd
Raymond,cat23,A Home Tailored for Me,"If my home could feel like a tailor shop, that would rule.",K.K. Break,12777;3951;1127,covered counter;antique console table;old sewing machine,CbZfAkwGBGwH9hjjy
Renée,rhn08,Total Blank Slate,I miss the time I spent hanging out in empty lots...,Agent K.K.,9619;12311;13647,utility pole;cruiser bike;fence,ynNxAxYem8qMCc4Ny
Reneigh,hrs16,Fancy-Party House,I want a place to gather my friends for fancy parties!,K.K. Bashment,12745;14561;13622,large covered round table;chafing dish;luxury car,tosmgT2KQNi8QJbY4
Rex,lon02,A Place to Climb Mountains,I wanna climb mountains and take in the pretty scenery.,Mountain Song,13623;889;1434,dormant volcano;camp stove;sleeping bag,8m3FFLjuJHFPrxZRA
Rhonda,rhn01,A Home for Pleasant Dreams,I want a relaxing home so all my dreams are pleasant ones.,K.K. Lullaby,1753;1836;13221,aroma pot;humidifier;Luna's bed,ZvN5Fc5hqfdkBHRMB
Ribbot,flg01,A Gym Full of Handles,I want all kinds of handles I can turn. It's great exercise!,K.K. Groove,12612;7392;13621,capsule-toy machine;candy machine;minicar,i4tLgfzjXyStX86qh
Ricky,squ10,The Halls of Medicine,I want a place where I can learn about being a doctor!,K.K. Blues,538;1326;4116,exam table;skeleton;whiteboard,WnoA8C96BsybvhDYR
Rilla,gor11,A Chart-Topping Chalet,I wanna relax in a cute spot while I make a hit record.,K.K. Parade,2596;4134;12271,juicy-apple TV;apple chair;Hello Kitty bed,5PbLLsLR3ZhcTK4qx
Rio,ost04,Workout Workshop,Fitness every day! Anytime! That's what I want!,K.K. Samba,290;287;13683,treadmill;exercise bike;yoga mat,RqN863Bwizvdt5uAY
Rizzo,mus09,A Secret Hideaway,I want a secret hideaway that no one else can find.,K.K. Lament,3230;724;13479,futon;kettle;nearly busted radio,iHmy7Zukpf9QmCzeu
Roald,pgn01,A Wannabe's Racetrack,I want a place that makes me feel like I'm a racer.,K.K. Country,4759;3346;1189,throwback race-car bed;public bench;tire stack,RonNmeKEk5nrqgRmC
Robin,brd01,A Classical Estate,"I want to relax while gazing at beautiful, classical things.",K.K. Sonata,3951;3950;794,antique console table;antique chair;phonograph,2qnLK6uCXQSDH8HvP
Rocco,hip00,Rocco's Danger Zone,I wanna feel like I'm right on the cusp of danger.,Surfin' K.K.,146;12605,cone;safety barrier,kruZ2cubAaRsEo5pM
Rocket,gor09,A Respite for Heroes,Heroes need a place to rest! Everyone needs a break.,K.K. Lullaby,12338;1620;3333,retro massage chair;hammock;LCD TV (20 in.),qh5R9wCrheY6cZZx4
Rod,mus05,A Pirate's Secret Hideaway,Pirates are so cool! I want my own pirate hideaway!,K.K. Calypso,1266;2562;13652,barrel;candle;antique map,jao6WwxyaKPFyr4fv
Rodeo,bul01,My Wizardly Watchtower,I like magic. Can I learn lots of magic at my place?,Lucky K.K.,14216;14604,suspicious cauldron;glowing-moss jar,tziayGr3xzrAG99Qt
Rodney,ham03,Movie-Magic Studio,I want to make movies... Can my place be like a studio?,K.K. Adventure,1412;2020,TV camera;director's chair,rpKg6Wf4Cah4CQGi3
Rolf,tig00,An Alfresco Apartment,I wanna spend as much time outside as possible.,Wandering,1429;1434;1433,campfire;sleeping bag;campfire cookware,Nt7MBjpWSk2qs2vWS
Rooney,kgr09,Boxing Gym,"Even if I'm on vacation, I want a boxing gym to get in reps.",K.K. Western,4013;7653;1456,punching bag;speed bag;judge's bell,qGNfortGCMxYWvCH3
Rory,lon07,A Tropical Ocean Paradise,"I grew up near the ocean, so I wanna feel like I'm there!",K.K. Faire,664;12782;7868,beach chair;bistro table;surfboard,JQKezN7gcLP6pzKFN
Roscoe,hrs04,Monotone Home,I wanna keep it simple. Make it all either black or white.,K.K. Rock,13006;13010,cool low table;cool sofa,xnsbMtxgFJL6F28Tq
Rosie,cat02,My Very Own Talent Agency,I need a studio suitable for a true pop star.,Bubblegum K.K.,4116;3672;7527,whiteboard;cardboard box;flower stand,Jwr3XB7gLBBGtmwjf
Roswell,crd05,My Mystery Workshop,I want a place to study the mysterious stuff I find.,K.K. Khoomei,13520;1337;14212,forbidden altar;ancient statue;glowing-moss pond,t92YuctX5fPEHdSS5
Rowan,tig01,Golden Shop,I want to run a shop filled with shiny golden things!,K.K. Oasis,9814;12713,lucky gold cat;antique cash register,2yovX2xAFFeg6Lzxc
Ruby,rbt09,A Place to Admire the Moon,I want to admire the beautiful night sky and moon...,Space K.K.,1186;1054;1442,telescope;moon;lunar rover,pXeMF6zj4cX86ARQW
Rudy,cat20,Indoor Ball Sports Arena,I want a place where I can be the best at ball sports!,K.K. D&B,2010;1181;1177,ball;tennis table;foosball table,RanhGEqzuBgLgmxfe
Sally,squ07,A Napping Field,I want to feel the breath of spring as I nap in a field...,Stale Cupcakes,7237;7235;6032,pansy table;rose bed;cherry-blossom-petal pile,kJ3Y5Br2CNGvCGNGY
Samson,mus04,A Treasure-Packed Gym,I bet lifting hidden treasure would be a great workout!,K.K. Casbah,13362;3774;14549,double-edged sword;Libra scale;decayed tree,raSepCzRsGcENRE74
Sandy,ost02,An Oasis for Runners,I want to give runners a place to rest their wings.,Wandering,1232;4015;12339,water cooler;shower booth;plush massage chair,XDmAZGuz56PHTgaww
Sasha,rbt21,Moon-Shot Manor,I want a place that reminds me of the moon.,K.K. Robot Synth,1054;1439,moon;asteroid,pEpHbufqqv6heh29Q
Savannah,hrs02,My Desert Oasis,I just want it to remind me of the arid place I grew up...,K.K. Safari,4123;13579;13273,mini-cactus set;baobab;cactus,GFCsfM2wQ6WCoFjhT
Scoot,duk10,A School with a Pool,I want a classroom with a pool so I can swim and study!,Mr. K.K.,1308;1328;3596,school chair;school desk;pool,CLJjGiWtdvyyJ4wqG
Shari,mnk07,House of Perennials,I want a place to show off always-blooming flowers.,Steep Hill,7236;7232;7235,lily record player;mum cushion;rose bed,PC8gibosbSxgTyF6j
Sheldon,squ16,Traffic-Safety Hub,I want a place where I can teach everyone traffic safety.,Drivin',13621;4196;12882,minicar;crosswalk signal;small mannequin,3yx7G7mbTezCYkdrY
Shep,dog18,Sounds of the Street,I want a place that's got lots and lots of street noise!,K.K. Cruisin',11942;383;1802,street piano;acoustic guitar;drink machine,PaePA3DBWL7rfriKF
Sherb,goa09,My Fantasy Theme Park,I think the world needs more fairy-tale theme parks.,My Place,4412;12688,cotton-candy stall;plaza bench,xbgewTts3u79Gw9eo
Shino,der11,A Stage to Jam for Japan,I wanna rock out in front of a Japanese-style backdrop!,K.K. Folk,1045;10743;12361,silver mic;bamboo speaker;zen bench,568bT9EN9E8LoMzYa
Simon,mnk02,Cool Car Lot,I want to line all my cool cars up and show them off.,K.K. Moody,13621;13622,minicar;luxury car,NamKnhQ4GfC3hTX8T
Skye,wol09,Painting School,I'd love a place to host painting classes for families.,K.K. Chorale,20;3965;3449,perfect painting;painting set;wooden stool,Z5sfN8meKdSbjwJEn
Sly,crd06,My Hide-and-Seek Jungle,I want to play hide-and-seek in a jungle-themed home!,My Place,14193;14192,vine bench;giant vine,f55rcQQJQnokniso2
Snake,rbt03,The Ultimate Chef Dojo,I need a place to train if I ever wanna be a hot-shot chef!,K.K. Jongara,12818;12776;12699,super-premium nigirizushi;counter table;standing electric sign,AmmkQzrz9p8Lyydbm
Snooty,ant06,Snooty's Indoor Swim Club,I'd simply adore having my own swim club...,Aloha K.K.,3596;1288,pool;fan palm,stoYJAuGq9Z9Dq9pX
Soleil,ham04,A Relaxing Summer Home,I could use a summer home to properly relax in.,K.K. Slack-Key,1620;331,hammock;birdbath,gjyCyoWgwscYehZfw
Sparro,brd18,A Gamer's Bunker,I want my own arcade so I can go hard in video games!,K.K. Song,13464;8225;12612,crane game;arcade fighting game;capsule-toy machine,7K6axD2ubsWkiL8Ry
Spike,rhn02,Heart of the City,"I want a slice of that stylish, big-city life.",K.K. Steppe,4015;13010;13523,shower booth;cool sofa;skateboard,dy9BixKMQjGjyKq3c
Spork,pig05,Wee Library in the Fall Woods,Reading a good book in an autumn forest sounds great!,Forest Life,1558;4708;808,wooden-block bookshelf;mush low stool;mush table,rvEgccvS2AsTGkJ2C
Sprinkle,pgn14,Castle of Cold,I'll melt if I'm not surrounded by snow and ice.,K.K. Sonata,3501;3504;12610,frozen sculpture;frozen tree;frozen-drink machine,p6vobY55BNm4igtN3
Sprocket,ost03,The Robo Depot,A factory that makes robots or mechs would be awesome!,Rockin' K.K.,13306;13305;13247,robot arm;conveyor belt;tin robot,5TGivYWywLHgjyW2a
Static,squ08,A Thrill-Seeker's Hideaway,"I want to experience thrills at home, like an adventurer.",K.K. Mariachi,13505;13511;13472,mining car;gear apparatus;windmill,DKt5SSexyEFsDhEQL
Stella,shp03,My Pink Palace,I love the color pink... I want it all around me!,K.K. Waltz,12614;7236;967,peacock chair;lily record player;flower bed,kqd7ZkNncowvojRhk
Sterling,pbr07,Sci-fi Sterling's Station,I want my vacation home to have a sci-fi theme!,K.K. Technopop,13502;13510;1445,spaceship control panel;crew member's seat;astronaut suit,dkmSxy5jnNhf4ewD8
Stinky,cat13,A Padded Ring for Romping,I want an indoor wrestling ring so I can play rough!,Agent K.K.,7151;7150;7152,red corner;blue corner;neutral corner,rj9ydiuf7Wa62NWSd
Stitches,cbr05,A Toy Box Full of Colors,I want a colorful vacation home that's like a toy box!,I Love You,4141;1565;3623,diner sofa;wooden-block table;toy box,4aRSBwo8zf7Pq3HwQ
Stu,bul03,A Home with Woodsy Smells,I just want my nose to be hugged by the smell of trees.,K.K. Western,4036;5970;13266,log decorative shelves;firewood;owl clock,EeAT7euwKA3e3KnfA
Sydney,kal03,A Working-Vacation Home,I've never worked in an office. I wonder what it's like.,K.K. Fusion,1750;3490;12675,document stack;wooden waste bin;plant partition,23Gmd2GdYSxAeXvfP
Sylvana,squ14,Home of the Salad Life,"Oh, I'd love a home for cooking with fresh veggies.",K.K. Hop,14054;3618;12708,ranch kitchen;cutting board;cooking tools,fcdBhwYZbGzqFxGPY
Sylvia,kgr06,A Family-Friendly Pool,If only my child and I could enjoy plenty of pool time...,K.K. Ska,13288;3348;1631,high chair;plastic pool;garden faucet,YMNsB9hJH57tGXba9
T-Bone,bul05,A Place That Stirs the Soul,I want a home that'll set my soul on fire.,K.K. Flamenco,4117;5970;4008,wood-burning stove;firewood;kettle bathtub,rko5XhGG2KgghM2q5
Tabby,cat12,A Scary Old Hospital,I want to contrast my cute vibe with a scary old hospital!,K.K. Dirge,1326;543;534,skeleton;operating-room cart;hospital bed,SgmPxSwrcmQZhTkpm
Tad,flg09,Dreams of Strength Training,I want to be able to do strength training whenever!,K.K. March,4006;12891;7654,climbing wall;full-length mirror;electric kick scooter,CRwPsF4RYLDQJTKca
Tammi,mnk03,House of Free Refills,I want a place where I'll never run out of my favorite drink.,K.K. Break,1232;954,water cooler;espresso maker,yRTGCqHLDcxsN4ZN7
Tammy,cbr17,My Piece of Pasta Paradise,"I wanna make my own pasta. That way, I'll never run out!",Neapolitan,12840;12708;292,spaghetti napolitan;cooking tools;kitchen stove,88brcjhyKSkJQzPS9
Tangy,cat05,A Vivid Vivarium,I want a place that's totes FILLED with vivid colors!,K.K. Polka,4137;1851;4759,diner chair;rocket lamp;throwback race-car bed,63gYqJBGEM5Wa6xoL
Tank,rhn00,Tabletop-Game Grounds,I want to invite friends to my place to play tabletop games!,K.K. Groove,864;13643;7599,bingo wheel;die;board game,pBRuPhfeGsYqCs9t5
Tasha,squ13,An Orange Space,"My home should have plenty of orange, just like my eyes.",Drivin',13010;3975,cool sofa;orange end table,eJXJsKLwYLsGqN6Wf
Teddy,bea00,Always on the Move,Seeing a place packed up to move is kind of exciting!,K.K. March,3672;13696;14049,cardboard box;pile of cardboard boxes;truck,SJYEtqWL2WERC58az
Tex,pgn12,Practice Studio for the Band,I need a studio-style vacation home for band practice.,K.K. Ballad,950;849;9503,effects rack;amp;mic stand,dPLwq6G5gBb5TirPG
Tia,elp10,A Perfect Tea-Party Palace,I want to invite everyone over for a tea party.,K.K. Fugue,12775;12613;7236,afternoon-tea set;fancy tea set;lily record player,AKMNwkK9AY9kE8yc8
Tiansheng,mnk09,Peach Paradise,I want my own utopia where I can eat peaches all the time!,Imperial K.K.,3971;3972;14108,imperial partition;imperial chest;azumaya gazebo,4sASssc9uwe4jn9oE
Tiffany,rbt07,Celeb Hideaway,I want the stylish and elusive celebrity lifestyle...,K.K. Moody,1840;13141;5957,whirlpool bath;elegant sofa;Capricorn ornament,otqHh7Giw4CCMHRak
Timbra,shp10,Star-Filled Sanctuary,I want a place filled with stars so I can make lots of wishes...,K.K. Soul,6826;1186;6829,nova light;telescope;crescent-moon chair,A9gPYETpdGS4YT8At
Tipper,cow01,Tipper's Ranch,I would enjoy a wide-open space. Perhaps my own ranch.,K.K. Safari,13369;338;13269,milk can;lawn mower;storefront,tnNmdhEhB82skh9kW
Toby,rbt20,A Peaceful Patio,I just wanna sit in a hallway and gaze at my yard.,King K.K.,12249;12254,Kerokerokeroppi hallway;Kerokerokeroppi lantern,Fgo9GvsvRJ5HAN6tR
Tom,cat15,A Primal Boxing Ring,I wanna be able to go totally wild in the boxing ring.,K.K. Gumbo,4013;7653,punching bag;speed bag,2NoPQdWZz9JeRTT92
Truffles,pig01,Quiz-Show Soundstage,I wanna practice my trivia skills in a quiz show!,K.K. Bashment,13295;1112;1412,game-show stand;colorful wheel;TV camera,J37hEjFcJ3HiB55Do
Tucker,elp09,Armchair Archaeology Dig,I need a home with the right vibe for studying archaeology.,K.K. Oasis,13520;1337;11941,forbidden altar;ancient statue;stone arch,ePkDG4iiNL7dsqngD
Tutu,bea07,A Place to Literally Chill,"I love shaved ice, so I need someplace SUPER chill...",K.K. Faire,667;7233,shaved-ice maker;windflower fan,eSrgafRA7smCHg32Z
Twiggy,brd03,A Lively Party Space,I want a vacation home where I can party with everyone!,K.K. Parade,1852;1853;1009,box sofa;box corner sofa;karaoke system,pX8CCk9gkjZrjYcxA
Tybalt,tig02,A Slugger's Dugout,I want a place to enshrine a sweet bat collection!,K.K. Parade,12344,baseball set,bswpS6LrNYNe4jbgE
Ursala,bea08,A Flowery Bowery,I just want to arrange flowers and share my love of them.,K.K. Flamenco,12608;7527;12305,flower display case;flower stand;Casablanca lilies,ZeMj2CX5uLBeYdjh2
Velma,goa06,Velma's Schoolhouse,Having my own schoolhouse is a lifelong dream!,Mr. K.K.,2014;3968,lecture-hall desk;homework set,pxtYo7rMZz5pjg4Yr
Vesta,shp00,Home with a Fireplace,I want to create a warm family space with its own fireplace.,Two Days Ago,742;1103;1127,fireplace;rocking chair;old sewing machine,ervPQnErrAaMQtr9u
Vic,bul08,An Adventurer's Home Base,I need a home base for my various adventures!,Lucky K.K.,13362;1266;14017,double-edged sword;barrel;cave,sQk2rucTdwgJtL4QC
Victoria,hrs01,A Cute Cottage in Yellow,I want a cute place filled with cute yellow things!,K.K. Love Song,13342;4002;7231,dreamy bed;cute floor lamp;tulip surprise box,s6ykDh5SvaohBzTFc
Violet,gor07,Cozy Eatery,I want my place to be like a friendly neighborhood eatery.,Comrade K.K.,2713;3615;12714,refrigerator;open-frame kitchen;modern cash register,bwpHcf6iacCsjwrFm
Vivian,wol08,A Gym to Dance It Out,I need a place to work out to the rhythm of music.,K.K. Rockabilly,287;793;4048,exercise bike;high-end stereo;rattan towel basket,J9WqvJuWXZkL5LDk9
Vladimir,cbr06,An Underground Lair,Don't wanna be found. Need an underground lair.,K.K. Marathon,13505;1432;13717,mining car;lantern;metal pot,rdQ4gLxKbo4744oqn
Wade,pgn09,House of Ticking Clocks,I can't sleep without the ticktock sound of a clock...,K.K. Ballad,3954;7132,antique clock;wooden double bed,5uTcMdt9xvMBBwHst
Walker,dog06,A Place to Show Off My Bike,I want a place that shows off how cool bikes are!,K.K. Country,2614,mountain bike,tsous9pG9djcBsqna
Walt,kgr08,The Set of Historical Drama,I wanna sip tea where they film those period dramas.,K.K. Rally,716;739;13190,screen;tea table;sword,GhPjeNLF7ccjLScYE
Wart Jr.,flg05,House of Bonsai,I want a messy but beautiful place filled with bonsai.,K.K. Jongara,3802;3974;3580,pine bonsai tree;imperial low table;bonsai shelf,ryS2NMe6BHCW7mt3X
Weber,duk11,A Pro Musician's Pad,I want a place to play my instruments like a pro.,K.K. Jazz,846;1081;1712,alto saxophone;upright piano;poster stand,38PXtvdSqB6Q5ZFGC
Wendy,shp09,Warm Winter Den,I wanna get my pals around the kotatsu for a party!,K.K. Folk,1849;13111;109,kotatsu;Japanese dresser;moss ball,WjvYevWSatWSyW2Ci
Whitney,wol03,The Makeup Salon,"Well, what I'd love is to make everyone pretty with makeup.",K.K. Lovers,13584;4076,makeup pouch;nail-art set,E3TZTG86GtXsf26hW
Willow,shp07,Home for a Coffee Lover,I want a home that's nice and calm as I relax with my coffee.,Chillwave,954;918;3958,espresso maker;coffee cup;antique mini table,gEkaen2nE6pGz6rJa
Winnie,hrs05,A Stable of Stars,I want to build a stable that raises super-fast horses!,K.K. Country,4379;880;13268,springy ride-on;wooden bucket;covered wagon,HGKajwDYA5Y5nKPA4
Wolfgang,wol02,Rock-and-Roll Arena,I want an awesome space that screams rock and roll!,Rockin' K.K.,1644;849;13469,rock guitar;amp;stage lights,BJxQD95LCPj2hjio6
Yuka,kal00,My Forested Jungle,I want to relax deep in a forested jungle...,K.K. Dub,1288;13364;12614,fan palm;titan arum;peacock chair,QcooZ7b62XANRXvAt
Zell,der02,My Perfect Hotel,"I want to feel like I'm staying at a hotel, like, all the time.",K.K. Cruisin',5961;13139,Taurus bathtub;elegant bed,gMFtbx4rgQT3vbCzF
Zoe,ant05,My Cute and Tropical Corner,"A cute, tropical chalet would be so me, wouldn't it?",K.K. Slack-Key,13344;13578;7259,dreamy shelves;inflatable bird ring;palm-tree lamp,cJJKMsWMwHg6JEmTC
Zucker,ocp02,Festival Grounds,I want my own festival where I can hang out with my pals.,Spring Blossoms,4412;667;1087,cotton-candy stall;shaved-ice maker;pinball machine,Atv9TnMkPv4NAjPAG
